Date,Day_of_Week,Month,Year,Open,High,Low,Close,Prev_Close,Daily_Return_Pct,Volume_Shares_Mn,Turnover_Cr,50_Day_MA,200_Day_MA,RSI_14,India_VIX,Advance_Decline_Ratio,Top_Sector,Market_Sentiment,Is_Market_Holiday,Prev_Close_Recomputed,Daily_Return_Pct_Recomputed,Month_Num,Month_Name,Quarter,Day_of_Week_Clean,Daily_Range,Daily_Range_Pct,Rolling_Volatility_20D,Cumulative_Return_Pct,MA_Trend,VIX_Risk_Bucket
2010-02-01,Monday,February,2010,5023.03,5082.07,4917.65,5042.72,4992.56,1.0,250.6,12082.8,5009.79,5009.79,58.52,19.02,1.01,Pharma,Neutral,No,4992.56,1.0046949861393724,2,February,1,Monday,164.42000000000007,3.273323073921519,1.079900156537115,-3.0246153846153923,Sideways,Normal
2010-02-02,Tuesday,February,2010,5043.69,5123.29,5022.09,5101.44,5042.72,1.16,285.2,14247.6,5013.77,5013.77,63.18,19.15,1.14,Metal,Bullish,No,5042.72,1.1644509312434428,2,February,1,Tuesday,101.19999999999982,2.0064674870977366,1.1150128786712903,-1.895384615384632,Sideways,Normal
2010-02-03,Wednesday,February,2010,5095.88,5147.93,5064.06,5115.98,5101.44,0.29,183.1,9537.7,5018.03,5018.03,62.47,18.9,0.99,IT,Bullish,No,5101.44,0.2850175636682969,2,February,1,Wednesday,83.86999999999989,1.645839383972933,1.0916783157687038,-1.6157692307692484,Sideways,Normal
2010-02-04,Thursday,February,2010,5101.81,5166.98,5026.9,5091.95,5115.98,-0.47,126.9,5842.6,5020.99,5020.99,71.37,17.97,1.27,Banking,Unknown,No,5115.98,-0.4697047291037054,2,February,1,Thursday,140.07999999999993,2.74569221511581,1.0566849068268835,-2.0778846153846287,Sideways,Normal
2010-02-05,Friday,February,2010,5096.51,5165.44,5054.68,5123.39,5091.95,0.62,265.3,14643.3,5024.93,5024.93,69.96,17.69,0.57,Energy,Bullish,No,5091.95,0.6174451830831118,2,February,1,Friday,110.75999999999931,2.173251891980969,0.8556298530192309,-1.4732692307692363,Sideways,Normal
2010-02-08,Monday,February,2010,5130.46,5162.1,5083.6,5115.15,5123.39,-0.16,228.6,10783.6,5028.27,5028.27,73.99,17.9,1.21,Pharma,Bullish,No,5123.39,-0.16083101227899282,2,February,1,Monday,78.5,1.5300772250441481,0.8379200463324755,-1.631730769230788,Sideways,Normal
2010-02-09,Tuesday,February,2010,5102.43,5279.24,5038.33,5213.74,5115.15,1.93,231.5,10977.6,5034.89,5034.89,78.69,17.85,1.52,Banking,Bullish,No,5115.15,1.9274117083565516,2,February,1,Tuesday,240.90999999999985,4.721475845822478,0.8964391460071797,0.2642307692307444,Sideways,Normal
2010-02-10,Wednesday,February,2010,5191.91,5279.88,5132.61,5220.26,5213.74,0.13,189.2,9313.8,5041.29,5041.29,88.36,19.29,1.23,Auto,Bullish,No,5213.74,0.12505418375293814,2,February,1,Wednesday,147.27000000000044,2.8365283681728006,0.8953090775137706,0.3896153846153716,Sideways,Normal
2010-02-11,Thursday,February,2010,5199.81,5229.21,5175.69,5205.06,5220.26,-0.29,150.2,7821.6,5046.74,5046.74,82.38,18.88,1.08,Energy,Bullish,No,5220.26,-0.29117323658208244,2,February,1,Thursday,53.52000000000044,1.0292683771137874,0.9015137631200323,0.09730769230766878,Sideways,Normal
2010-02-12,Friday,February,2010,5233.37,5319.17,5195.78,5281.24,5205.06,1.46,314.4,16035.3,5054.31,5054.31,83.49,19.27,1.48,Banking,Bullish,No,5205.06,1.4635758281364553,2,February,1,Friday,123.39000000000033,2.357754181340137,0.8157026018484368,1.5623076923076518,Sideways,Normal
2010-02-15,Monday,February,2010,5233.37,5385.3,5306.67,5380.19,5281.24,1.87,310.3,16494.9,5064.49,5064.49,87.33,20.05,1.4,IT,Neutral,No,5281.24,1.8736130151252324,2,February,1,Monday,78.63000000000011,1.5024735495483812,0.8699139418519681,3.4651923076922664,Sideways,Elevated
2010-02-16,Tuesday,February,2010,5380.67,5442.48,5243.93,5304.87,5380.19,-1.4,300.7,14625.4,5071.78,5071.78,75.94,19.63,0.33,Banking,Bullish,No,5380.19,-1.399950559366857,2,February,1,Tuesday,198.54999999999927,3.6900609031960565,0.933372380306248,2.0167307692307235,Sideways,Normal
2010-02-17,Wednesday,February,2010,5283.04,5419.97,5240.69,5376.87,5304.87,1.36,318.1,16190.8,5080.75,5080.75,78.86,19.56,1.36,Realty,Bullish,No,5304.87,1.3572434385762517,2,February,1,Wednesday,179.28000000000065,3.3935007117114515,0.9575628197856497,3.4013461538461076,Sideways,Normal
2010-02-18,Thursday,February,2010,5374.53,5431.93,5250.8,5307.49,5376.87,-1.29,351.1,17135.1,5087.23,5087.23,72.52,19.78,0.2,IT,Bullish,No,5376.87,-1.2903417787672031,2,February,1,Thursday,181.1300000000001,3.3701551577533317,0.9774250485078501,2.067115384615348,Sideways,Normal
2010-02-19,Friday,February,2010,5272.45,5299.68,5271.02,5298.24,5307.49,-0.17,239.4,11998.3,5093.09,5093.09,69.41,19.47,0.97,IT,Bullish,No,5307.49,-0.17428200524164908,2,February,1,Friday,28.659999999999854,0.5435803089645204,0.9440748435186506,1.889230769230732,Sideways,Normal
2010-02-22,Monday,February,2010,5303.24,5395.39,5266.77,5358.54,5298.24,1.14,313.2,17465.4,5100.26,5100.26,69.48,18.66,1.17,Banking,Bullish,No,5298.24,1.1381137887298458,2,February,1,Monday,128.6199999999999,2.425309810606344,0.9487973964834705,3.04884615384613,Sideways,Normal
2010-02-23,Tuesday,February,2010,5342.56,5606.42,5296.24,5558.23,5358.54,3.73,508.8,28706.1,5112.32,5112.32,52.29,18.41,2.1,Realty,Bullish,No,5358.54,3.726574775965087,2,February,1,Tuesday,310.1800000000003,5.805830912521343,1.20724468725607,6.889038461538433,Sideways,Normal
2010-02-24,Wednesday,February,2010,5538.05,5580.51,5535.43,5577.87,5558.23,0.35,295.6,15940.7,5124.25,5124.25,78.9,18.83,1.05,IT,Bullish,No,5558.23,0.3533498973594171,2,February,1,Wednesday,45.07999999999993,0.814004929532957,1.2013894458953702,7.266730769230745,Sideways,Normal
2010-02-25,Thursday,February,2010,5594.23,5653.67,5451.36,5509.91,5577.87,-1.22,294.8,15467.5,5133.89,5133.89,72.03,24.57,0.82,Pharma,Bullish,No,5577.87,-1.2183862298691084,2,February,1,Thursday,202.3100000000004,3.616404759904409,1.2592337262110873,5.9598076923076615,Sideways,Elevated
2010-02-26,Friday,February,2010,5507.36,5572.07,5470.43,5534.95,5509.91,0.45,252.0,15336.0,5143.68,5143.68,73.48,18.66,1.52,Banking,Bullish,No,5509.91,0.45445388400173437,2,February,1,Friday,101.63999999999942,1.8455303448476117,1.2468870915051398,6.441346153846128,Sideways,Normal
2010-03-01,Monday,March,2010,5549.32,5554.76,5449.04,5454.39,5534.95,-1.46,244.1,14027.5,5151.07,5151.07,63.74,19.23,0.93,Energy,Bullish,No,5534.95,-1.4554783692716193,3,March,1,Monday,105.72000000000025,1.905098282312072,1.3164150372865677,4.892115384615359,Sideways,Normal
2010-03-02,Tuesday,March,2010,5474.14,5506.67,5346.88,5378.84,5454.39,-1.39,251.4,14393.4,5156.37,5156.37,58.39,19.64,0.66,Energy,Neutral,No,5454.39,-1.3851228093334027,3,March,1,Tuesday,159.78999999999996,2.9189973219537673,1.3613065144329095,3.439230769230739,Sideways,Normal
2010-03-03,Wednesday,March,2010,5377.4,5526.48,5324.56,5472.7,5378.84,1.74,299.8,14853.0,5163.56,5163.56,63.07,19.82,1.46,Banking,Bullish,No,5378.84,1.7449859077421839,3,March,1,Wednesday,201.91999999999916,3.7549745230036664,1.4005178518391446,5.244230769230751,Sideways,Normal
2010-03-04,Thursday,March,2010,5472.62,5496.41,5432.31,5456.03,5472.7,-0.3,214.1,10652.4,5170.06,5170.06,59.06,19.29,0.51,Banking,Neutral,No,5472.7,-0.3046028468580422,3,March,1,Thursday,64.09999999999945,1.1712854172224538,1.3959307116458042,4.92365384615383,Sideways,Normal
2010-03-05,Friday,March,2010,5473.35,5516.14,5397.44,5439.97,5456.03,-0.29,347.9,19730.4,5175.93,5175.93,53.39,19.95,1.64,IT,Neutral,No,5456.03,-0.29435322019856,3,March,1,Friday,118.70000000000073,2.168690107521001,1.4017881906100238,4.6148076923076875,Sideways,Normal
2010-03-08,Monday,March,2010,5431.18,5465.22,5389.05,5423.04,5439.97,-0.31,258.0,13129.1,5181.19,5181.19,57.18,21.51,1.43,IT,Neutral,No,5439.97,-0.31121495155304696,3,March,1,Monday,76.17000000000007,1.4024576611344142,1.4048437884439096,4.289230769230756,Sideways,Elevated
2010-03-09,Tuesday,March,2010,5441.82,5499.01,5441.69,5498.88,5423.04,1.4,306.4,16598.0,5187.8,5187.8,57.38,21.42,1.73,Energy,Neutral,No,5423.04,1.398477606656048,3,March,1,Tuesday,57.32000000000062,1.0533240717260148,1.3773433366533234,5.747692307692298,Sideways,Elevated
2010-03-10,Wednesday,March,2010,5441.82,5543.24,5408.14,5485.67,5498.88,-0.24,302.4,15540.8,5193.88,5193.88,61.56,21.74,1.12,Banking,Neutral,No,5498.88,-0.2402307378957176,3,March,1,Wednesday,135.09999999999945,2.4826252981539167,1.3818582237630992,5.493653846153834,Sideways,Elevated
2010-03-11,Thursday,March,2010,5479.83,5599.81,5418.29,5537.62,5485.67,0.95,277.9,14395.1,5200.76,5200.76,64.72,21.35,1.21,Pharma,Neutral,No,5485.67,0.9470128534891785,3,March,1,Thursday,181.52000000000044,3.3125115195179493,1.3837293095744008,6.492692307692294,Sideways,Elevated
2010-03-12,Friday,March,2010,5540.73,5610.52,5436.46,5505.81,5537.62,-0.57,232.3,11790.0,5206.87,5206.74,59.38,21.76,0.85,IT,Neutral,No,5537.62,-0.5744345043538468,3,March,1,Friday,174.0600000000004,3.1414633089863684,1.3699909121148415,5.880961538461538,Uptrend,Elevated
2010-03-15,Monday,March,2010,5485.91,5558.95,5441.82,5514.63,5505.81,0.16,243.5,39537.4,5212.69,5212.66,46.33,22.02,1.33,IT,Neutral,No,5505.81,0.16019441281118868,3,March,1,Monday,117.13000000000011,2.135106117307796,1.313365039499403,6.050576923076911,Uptrend,Elevated
2010-03-16,Tuesday,March,2010,5520.74,5576.47,5465.87,5521.59,5514.63,0.13,250.7,14505.1,5219.25,5218.49,45.16,21.22,0.48,Banking,Neutral,No,5514.63,0.1262097366459769,3,March,1,Tuesday,110.60000000000036,2.0033546227498555,1.2630695522776145,6.184423076923085,Uptrend,Elevated
2010-03-17,Wednesday,March,2010,5524.44,5614.01,5515.91,5605.36,5521.59,1.52,378.7,39537.4,5228.62,5225.65,57.99,20.54,1.32,IT,Neutral,No,5521.59,1.5171354627924116,3,March,1,Wednesday,98.10000000000036,1.7757455959337123,1.271206955870851,7.795384615384626,Uptrend,Elevated
2010-03-18,Thursday,March,2010,5593.05,5701.1,5542.93,5650.47,5605.36,0.8,267.3,9633.3,5240.21,5233.38,59.36,20.76,1.27,Banking,Neutral,No,5605.36,0.8047654387943073,3,March,1,Thursday,158.17000000000007,2.8279740034507124,1.2260739033097745,8.662884615384648,Uptrend,Elevated
2010-03-19,Friday,March,2010,5637.41,5751.23,5599.48,5712.79,5650.47,1.1,230.2,13567.4,5255.73,5241.94,71.57,21.52,0.79,Unknown,Neutral,No,5650.47,1.1029171024711166,3,March,1,Friday,151.75,2.6918389827952907,1.2321843653582834,9.861346153846196,Uptrend,Elevated
2010-03-22,Monday,March,2010,5697.84,5825.94,5654.01,5781.47,5712.79,1.2,275.0,15556.6,5273.24,5251.4,84.01,21.8,0.95,Banking,Neutral,No,5712.79,1.2022146796924145,3,March,1,Monday,171.92999999999938,3.0174592477149127,1.2343292158575638,11.182115384615443,Uptrend,Elevated
2010-03-23,Tuesday,March,2010,5754.3,5774.62,5637.3,5657.27,5781.47,-2.15,267.3,22730.9,5287.1,5258.4,64.83,23.93,0.2,Unknown,Neutral,No,5781.47,-2.148242574985251,3,March,1,Tuesday,137.3199999999997,2.3863893088646697,1.0883431316444763,8.793653846153916,Uptrend,Elevated
2010-03-24,Wednesday,March,2010,5684.6,5915.23,5613.6,5842.26,5657.27,3.27,425.6,26153.8,5304.63,5268.3,74.42,22.66,2.12,Metal,Neutral,No,5657.27,3.269951761185161,3,March,1,Wednesday,301.6299999999992,5.3060901382682895,1.2997875420732492,12.351153846153906,Uptrend,Elevated
2010-03-25,Thursday,March,2010,5684.6,5858.62,5830.42,5850.45,5842.26,0.14,233.5,12383.0,5321.84,5278.0,76.22,21.99,1.5,Metal,Neutral,No,5842.26,0.1401854761684622,3,March,1,Thursday,28.199999999999818,0.4960771206417306,1.2542727235673385,12.508653846153894,Uptrend,Elevated
2010-03-26,Friday,March,2010,5826.7,5879.65,5745.5,5798.19,5850.45,-0.89,326.2,18463.0,5339.75,5286.53,72.93,22.27,0.57,Realty,Neutral,No,5850.45,-0.8932646206702086,3,March,1,Friday,134.14999999999964,2.3023323665196362,1.2818751558673795,11.503653846153883,Uptrend,Elevated
2010-03-29,Monday,March,2010,5796.06,6008.98,5770.96,5983.07,5798.19,3.19,267.3,20905.5,5360.31,5297.76,76.11,22.97,2.63,Metal,Neutral,No,5798.19,3.1885812641531257,3,March,1,Monday,238.01999999999953,4.106582747590596,1.3757044987289198,15.05903846153851,Uptrend,Elevated
2010-03-30,Tuesday,March,2010,5987.38,6086.02,5719.63,5815.44,5983.07,-2.8,477.1,27070.8,5378.14,5305.98,65.24,25.74,0.2,IT,Bearish,No,5983.07,-2.8017389066148333,3,March,1,Tuesday,366.3900000000003,6.119371077165644,1.5066239261789751,11.835384615384648,Uptrend,Elevated
2010-03-31,Wednesday,March,2010,5801.17,5863.72,5627.43,5688.76,5815.44,-2.18,281.2,14415.8,5393.23,5311.96,56.54,27.26,0.24,IT,Bearish,No,5815.44,-2.178339042273661,3,March,1,Wednesday,236.28999999999996,4.07314386580638,1.5763243966171252,9.399230769230815,Uptrend,Elevated
2010-04-01,Thursday,April,2010,5682.54,5727.35,5603.75,5648.29,5688.76,-0.71,153.0,8359.0,5408.55,5317.13,56.12,26.64,0.32,Auto,Bearish,No,5688.76,-0.7114028364705183,4,April,2,Thursday,123.60000000000036,2.1750836773696336,1.58584951263512,8.620961538461568,Uptrend,Elevated
2010-04-02,Friday,April,2010,5670.39,5774.96,5648.34,5752.59,5648.29,1.85,347.0,21449.2,5424.39,5323.73,59.44,26.66,1.49,IT,Bearish,No,5648.29,1.846576574503083,4,April,2,Friday,126.61999999999989,2.233003373665654,1.6235825527900623,10.626730769230818,Uptrend,Elevated
2010-04-05,Monday,April,2010,5732.44,5774.96,5552.12,5617.05,5752.59,-2.36,254.7,15599.8,5436.5,5328.11,53.44,28.51,0.2,Realty,Bearish,No,5752.59,-2.3561560966451625,4,April,2,Monday,222.84000000000015,3.8873498894013743,1.7248227053070417,8.020192307692353,Uptrend,Elevated
2010-04-06,Tuesday,April,2010,5607.25,5784.1,5578.89,5754.99,5617.05,2.46,309.3,18015.6,5451.43,5334.39,55.18,28.25,2.84,IT,Bearish,No,5617.05,2.4557374422517086,4,April,2,Tuesday,205.21000000000004,3.659726247269161,1.7791551568901227,10.672884615384671,Uptrend,Elevated
2010-04-07,Wednesday,April,2010,5720.37,5790.85,5665.82,5736.15,5754.99,-0.33,227.8,12560.9,5466.0,5340.21,53.02,27.26,0.58,Energy,Bearish,No,5754.99,-0.3273680753572143,4,April,2,Wednesday,125.03000000000065,2.1856977782905767,1.780506673086211,10.310576923076976,Uptrend,Elevated
2010-04-08,Thursday,April,2010,5767.53,5915.27,5709.62,5856.46,5736.15,2.1,347.6,20218.9,5483.02,5347.59,54.87,26.95,1.81,Auto,Bearish,No,5736.15,2.097399823923719,4,April,2,Thursday,205.65000000000055,3.565651153960197,1.8226811254913564,12.624230769230827,Uptrend,Elevated
2010-04-09,Friday,April,2010,5868.02,6008.49,5810.47,5950.14,5856.46,1.6,359.5,20262.2,5502.17,5356.07,52.29,26.74,1.39,Realty,Bearish,No,5856.46,1.5996011242286345,4,April,2,Friday,198.01999999999953,3.3745624588873167,1.8328344568702248,14.425769230769303,Uptrend,Elevated
2010-04-12,Monday,April,2010,5949.26,6024.53,5881.73,5956.91,5950.14,0.11,144.7,8047.5,5520.45,5364.42,60.84,26.91,0.97,Energy,Bearish,No,5950.14,0.11377883545596451,4,April,2,Monday,142.80000000000018,2.4002985245223805,1.833189766045419,14.555961538461592,Uptrend,Elevated
2010-04-13,Tuesday,April,2010,5944.08,6114.97,5909.96,6080.07,5956.91,2.07,253.8,15411.3,5540.03,5374.22,59.0,25.95,1.67,IT,Bearish,No,5956.91,2.067514869286255,4,April,2,Tuesday,205.01000000000022,3.4489778064898227,1.8688428379268411,16.924423076923123,Uptrend,Elevated
2010-04-14,Wednesday,April,2010,6066.06,6150.3,6004.2,6088.22,6080.07,0.13,431.5,27514.2,5559.47,5383.87,59.0,26.02,1.33,Banking,Bearish,No,6080.07,0.1340445093559868,4,April,2,Wednesday,146.10000000000036,2.4084826065024143,1.854740798908228,17.081153846153917,Uptrend,Elevated
2010-04-15,Thursday,April,2010,6083.31,6144.8,6050.95,6112.28,6088.22,0.4,227.0,13104.7,5579.88,5393.58,62.15,25.44,1.29,Metal,Bearish,No,6088.22,0.39518939854340823,4,April,2,Thursday,93.85000000000036,1.5427456434079532,1.8526489846903462,17.543846153846232,Uptrend,Elevated
2010-04-16,Friday,April,2010,6121.38,6150.02,6045.14,6073.55,6112.28,-0.63,153.3,10073.4,5598.88,5402.53,53.95,24.88,0.86,Unknown,Neutral,No,6112.28,-0.6336424378464266,4,April,2,Friday,104.88000000000011,1.71333914901542,1.8591401639853509,16.79903846153854,Uptrend,Elevated
2010-04-19,Monday,April,2010,6054.17,6172.45,6030.74,6148.65,6073.55,1.24,220.6,12663.9,5619.55,5412.22,65.81,24.89,1.59,Energy,Neutral,No,6073.55,1.2365091256349163,4,April,2,Monday,141.71000000000004,2.3407007071159223,1.8600093430926312,18.243269230769286,Uptrend,Elevated
2010-04-20,Tuesday,April,2010,6140.11,6269.41,6097.18,6225.88,6148.65,1.26,267.3,15771.7,5639.79,5422.65,76.74,25.04,1.53,Pharma,Bearish,No,6148.65,1.2560480755938372,4,April,2,Tuesday,172.22999999999956,2.8049986075167963,1.775642999724522,19.728461538461595,Uptrend,Elevated
2010-04-21,Wednesday,April,2010,6241.89,6319.57,6148.75,6226.23,6225.88,0.01,220.6,14494.3,5659.91,5432.82,79.97,24.93,0.62,IT,Neutral,No,6225.88,0.005621695246285735,4,April,2,Wednesday,170.8199999999997,2.7366711044250973,1.6529293835767411,19.735192307692362,Uptrend,Elevated
2010-04-22,Thursday,April,2010,6256.29,6424.1,6148.75,6330.03,6226.23,1.67,373.5,22287.4,5682.41,5444.04,79.96,25.68,1.48,FMCG,Bearish,No,6226.23,1.6671404686302977,4,April,2,Thursday,275.35000000000036,4.401170661845924,1.6786797045382014,21.73134615384622,Uptrend,Elevated
2010-04-23,Friday,April,2010,6340.35,6489.3,6296.49,6444.71,6330.03,1.81,407.0,25162.1,5705.68,5456.39,93.89,25.5,1.81,Metal,Bearish,No,6330.03,1.8116817771795757,4,April,2,Friday,192.8100000000004,3.0409993139180074,1.6772792238218799,23.936730769230863,Uptrend,Elevated
2010-04-26,Monday,April,2010,6431.91,6555.12,6397.05,6519.78,6444.71,1.16,228.1,13537.6,5728.47,5469.36,93.46,25.15,1.21,Banking,Bearish,No,6444.71,1.1648313112614797,4,April,2,Monday,158.0699999999997,2.457590358074036,1.5666963846857218,25.3803846153847,Uptrend,Elevated
2010-04-27,Tuesday,April,2010,6516.75,6617.89,6429.96,6530.91,6519.78,0.17,194.4,13823.4,5752.99,5482.15,95.56,25.32,1.16,FMCG,Bearish,No,6519.78,0.17071128166901506,4,April,2,Tuesday,187.9300000000003,2.883799439904865,1.37161633795944,25.594423076923167,Uptrend,Elevated
2010-04-28,Wednesday,April,2010,6538.99,6617.89,6429.96,6485.41,6530.91,-0.7,264.0,17076.9,5775.16,5494.09,89.44,25.86,1.1,IT,Bearish,No,6530.91,-0.6966869854277582,4,April,2,Wednesday,187.9300000000003,2.8739912432959875,1.2486856378693156,24.719423076923164,Uptrend,Elevated
2010-04-29,Thursday,April,2010,6479.74,6602.39,6427.15,6549.23,6485.41,0.98,225.2,13463.7,5800.0,5506.51,89.03,26.04,1.12,Pharma,Bearish,No,6485.41,0.9840549787908506,4,April,2,Thursday,175.2400000000007,2.7044294987144655,1.2071970512382353,25.946730769230864,Uptrend,Elevated
